Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M06	46.755
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M05	50.581
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M04	51.266
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M03	38.026
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M02	35.579
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en España	2025M01	30.364
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M07	6.313
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M06	5.757
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M05	9.749
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M04	7.476
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M03	4.544
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M02	3.608
Total Nacional	01 Andalucía	23 Jaén	Viajero	Total	Residentes en el Extranjero	2025M01	2.710
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M07	82.383
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M06	92.175
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M05	106.729
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M04	110.880
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M03	79.077
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M02	67.200
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total		2025M01	58.021
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M07	72.256
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M06	82.901
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M05	90.751
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M04	97.646
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M03	70.759
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M02	61.679
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en España	2025M01	53.904
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	10.127
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	9.273
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	15.978
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	13.234
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	8.319
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	5.521
Total Nacional	01 Andalucía	23 Jaén	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	4.117
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M07	671.077
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M06	612.924
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M05	637.204
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M04	587.800
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M03	423.051
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M02	368.010
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total		2025M01	269.769
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M07	266.023
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M06	195.165
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M05	169.534
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M04	171.551
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M03	132.671
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M02	153.408
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en España	2025M01	97.146
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M07	405.053
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M06	417.759
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M05	467.670
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M04	416.249
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M03	290.380
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M02	214.602
Total Nacional	01 Andalucía	29 Málaga	Viajero	Total	Residentes en el Extranjero	2025M01	172.623
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M07	2.588.361
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M06	2.290.250
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M05	2.174.815
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M04	1.995.196
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M03	1.457.296
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M02	1.160.539
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total		2025M01	842.480
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M07	770.668
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M06	463.100
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M05	389.748
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M04	438.421
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M03	281.012
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M02	302.301
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en España	2025M01	184.578
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	1.817.692
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	1.827.151
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	1.785.067
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	1.556.775
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	1.176.285
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	858.238
Total Nacional	01 Andalucía	29 Málaga	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	657.902
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M07	297.892
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M06	331.000
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M05	366.777
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M04	347.906
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M03	309.457
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M02	270.998
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total		2025M01	257.029
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M07	130.677
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M06	143.147
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M05	139.366
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M04	130.753
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M03	138.186
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M02	130.467
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en España	2025M01	128.757
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M07	167.215
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M06	187.853
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M05	227.411
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M04	217.153
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M03	171.271
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M02	140.532
Total Nacional	01 Andalucía	41 Sevilla	Viajero	Total	Residentes en el Extranjero	2025M01	128.272
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M07	594.291
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M06	663.710
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M05	766.568
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M04	736.963
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M03	657.960
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M02	554.132
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total		2025M01	499.041
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M07	228.080
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M06	245.185
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M05	247.312
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M04	237.156
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M03	240.496
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M02	222.029
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en España	2025M01	217.930
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	366.210
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	418.525
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	519.256
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	499.807
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	417.464
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	332.103
Total Nacional	01 Andalucía	41 Sevilla	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	281.111
Total Nacional	02 Aragón		Viajero	Total		2025M07	299.878
Total Nacional	02 Aragón		Viajero	Total		2025M06	266.408
Total Nacional	02 Aragón		Viajero	Total		2025M05	263.532
Total Nacional	02 Aragón		Viajero	Total		2025M04	250.730
Total Nacional	02 Aragón		Viajero	Total		2025M03	223.681
Total Nacional	02 Aragón		Viajero	Total		2025M02	217.078
Total Nacional	02 Aragón		Viajero	Total		2025M01	178.779
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M07	229.112
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M06	202.455
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M05	196.249
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M04	200.999
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M03	184.445
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M02	184.105
Total Nacional	02 Aragón		Viajero	Total	Residentes en España	2025M01	147.659
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M07	70.766
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M06	63.953
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M05	67.283
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M04	49.732
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M03	39.237
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M02	32.973
Total Nacional	02 Aragón		Viajero	Total	Residentes en el Extranjero	2025M01	31.120
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M07	598.399
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M06	501.104
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M05	502.479
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M04	475.430
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M03	452.294
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M02	441.767
Total Nacional	02 Aragón		Pernoctaciones	Total		2025M01	359.386
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M07	467.361
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M06	380.567
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M05	372.994
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M04	380.920
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M03	368.468
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M02	375.104
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en España	2025M01	297.868
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	131.038
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	120.537
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	129.486
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	94.510
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	83.826
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	66.662
Total Nacional	02 Aragón		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	61.518
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M07	119.758
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M06	92.737
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M05	69.214
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M04	63.601
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M03	68.184
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M02	85.457
Total Nacional	02 Aragón	22 Huesca	Viajero	Total		2025M01	66.303
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M07	95.587
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M06	70.842
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M05	50.161
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M04	53.228
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M03	61.314
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M02	78.493
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en España	2025M01	61.391
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M07	24.171
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M06	21.895
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M05	19.052
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M04	10.372
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M03	6.870
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M02	6.964
Total Nacional	02 Aragón	22 Huesca	Viajero	Total	Residentes en el Extranjero	2025M01	4.912
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M07	268.472
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M06	173.336
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M05	136.621
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M04	129.316
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M03	161.024
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M02	208.360
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total		2025M01	165.004
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M07	222.399
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M06	135.738
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M05	97.443
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M04	108.268
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M03	144.331
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M02	190.685
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en España	2025M01	150.912
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	46.073
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	37.597
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	39.177
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	21.048
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	16.693
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	17.675
Total Nacional	02 Aragón	22 Huesca	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	14.092
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M07	39.576
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M06	38.777
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M05	41.108
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M04	43.500
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M03	32.079
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M02	28.122
Total Nacional	02 Aragón	44 Teruel	Viajero	Total		2025M01	21.022
Total Nacional	02 Aragón	44 Teruel	Viajero	Total	Residentes en España	2025M07	34.163
Total Nacional	02 Aragón	44 Teruel	Viajero	Total	Residentes en España	2025M06	32.452
Total Nacional	02 Aragón	44 Teruel	Viajero	Total	Residentes en España	2025M05	33.957
Total Nacional	02 Aragón	44 Teruel	Viajero	Total	Residentes en España	2025M04	38.285
Total Nacional	02 Aragón	44 Teruel	Viajero	Total	Residentes en España	2025M03	27.927
