Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M04	131.472
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M03	104.312
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M02	79.760
Total Nacional	01 Andalucía	18 Granada	Viajero	Total	Residentes en el Extranjero	2025M01	77.771
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M07	543.231
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M06	527.901
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M05	549.063
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M04	562.550
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M03	495.434
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M02	432.044
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total		2025M01	371.568
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M07	307.804
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M06	278.026
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M05	248.014
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M04	279.147
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M03	257.973
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M02	257.814
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en España	2025M01	207.117
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	235.427
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	249.876
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	301.049
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	283.403
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	237.461
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	174.231
Total Nacional	01 Andalucía	18 Granada	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	164.451
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M07	172.504
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M06	156.786
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M05	129.725
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M04	97.701
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M03	51.106
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M02	37.989
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total		2025M01	22.418
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M07	133.751
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M06	110.289
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M05	96.706
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M04	64.308
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M03	39.055
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M02	30.959
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en España	2025M01	17.902
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M07	38.753
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M06	46.496
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M05	33.019
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M04	33.392
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M03	12.051
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M02	7.030
Total Nacional	01 Andalucía	21 Huelva	Viajero	Total	Residentes en el Extranjero	2025M01	4.516
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M07	697.257
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M06	544.851
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M05	410.861
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M04	323.776
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M03	144.951
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M02	103.528
Total Nacional	01 Andalucía	21 Huelva	Pernoctaciones	Total		2025M01	54.429
